pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,,,,no.,sequential,random
-50,x,0,0,0,0,,,,,19.5446184,20.5033904,20.5033904,20.5033904,20.5033904,20.5533058,21.5006152,21.5006152,x,1,1.6019714,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,1,1.6019714,0.2739098
150,v,0,1,1,1,,,,,23.1296272,24.1270092,24.1270092,24.1270092,24.1270092,24.1437926,25.1241282,25.1241282,v,1,0.7092412,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,2,0.7092412,0.4845336
50,c,0,2,2,2,,,,,25.8557698,26.8526886,26.8526886,26.8526886,26.8526886,26.8693175,27.8501149,27.8501149,c,1,0.449934,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,3,0.449934,0.3240906
-150,z,0,3,3,3,,,,,28.3321029,29.329444,29.329444,29.329444,29.329444,29.3459942,30.3265434,30.3265434,z,1,0.4431884,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,4,0.4431884,0.5972278
-50,x,1,0,4,0,,,,,30.7922114,31.7897681,31.7897681,31.7897681,31.7897681,31.8058705,32.7860838,32.7860838,x,1,0.5286308,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,5,0.5286308,0.751264
150,v,1,1,5,1,,,,,33.3346491,34.331984,34.331984,34.331984,34.331984,34.3485932,35.329269,35.329269,v,1,0.4111179,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,6,0.4111179,0.4984079
50,c,1,2,6,2,,,,,35.7614143,36.7592578,36.7592578,36.7592578,36.7592578,36.7756386,37.7562952,37.7562952,c,1,0.5466673,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,7,0.5466673,0.4802077
-150,z,1,3,7,3,,,,,38.3215745,39.3190813,39.3190813,39.3190813,39.3190813,39.3358064,40.3163726,40.3163726,z,1,0.4222002,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,8,0.4222002,0.6832047
-50,x,2,0,8,0,,,,,40.7651239,41.7626091,41.7626091,41.7626091,41.7626091,41.7787222,42.759831,42.759831,x,1,0.520166,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,9,0.520166,0.6364705
150,v,2,1,9,1,,,,,43.3079892,44.3053588,44.3053588,44.3053588,44.3053588,44.3218744,45.3027677,45.3027677,v,1,0.4047749,1,1,2022-09-30_13h30.39.796,tutorial_4,2022.2.4,60.17368533,,,,10,0.4047749,0.5329359
