trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,31.69085370004177,31.69085370004177,0.030753999948501587,[-0.23148148148148148],[-0.32407407407407407],[1],[0],[0],[2.1110139000229537],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
1,0,1,0,5,33.826737500028685,33.826737500028685,0.026384300086647272,[0.1398148148148148],[0.32685185185185184],[1],[0],[0],[2.5403424999676645],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
2,0,2,0,10,36.42798090004362,36.42798090004362,0.04811479989439249,[0.4444444444444444],[0.3175925925925926],[1],[0],[0],[2.305614900076762],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
3,0,3,0,10,38.77650839998387,38.77650839998387,0.03800370008684695,[0.45555555555555555],[-0.44722222222222224],[1],[0],[0],[3.5449228999204934],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
4,0,4,0,5,42.333843200001866,42.333843200001866,0.013337000040337443,[-0.3398148148148148],[0.24074074074074073],[1],[0],[0],[1.7947323999833316],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
5,0,5,0,10,44.184104999993,44.184104999993,0.0424875000026077,[0.0824074074074074],[-0.33796296296296297],[1],[0],[0],[3.5413802000693977],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
6,0,6,0,10,47.76623579999432,47.76623579999432,0.03386990004219115,[-0.13240740740740742],[-0.4842592592592593],[1],[0],[0],[3.283127900213003],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
7,0,7,0,10,51.09811790008098,51.09811790008098,0.044168399879708886,[-0.12037037037037036],[0.41574074074074074],[1],[0],[0],[1.8111743000335991],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
8,0,8,0,10,52.949116399977356,52.949116399977356,0.03215670003555715,[0.27870370370370373],[-0.16574074074074074],[1],[0],[0],[2.7037722000386566],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
9,0,9,0,5,55.675300100119784,55.675300100119784,0.02192500000819564,[-0.14444444444444443],[-0.13055555555555556],[1],[0],[0],[1.2346306000836194],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
10,0,10,0,5,56.94313190015964,56.94313190015964,0.024632100015878677,[0.13796296296296295],[-0.14074074074074075],[1],[0],[0],[1.4480128998402506],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
11,0,11,0,5,58.422728799981996,58.422728799981996,0.025782200042158365,[0.22314814814814815],[0.10648148148148148],[1],[0],[0],[1.5629509999416769],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
12,0,12,0,5,60.01875720010139,60.01875720010139,0.024298599921166897,[0.3138888888888889],[0.2101851851851852],[1],[0],[0],[1.315415299963206],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
13,0,13,0,5,61.35877769999206,61.35877769999206,0.019522099988535047,[0.3111111111111111],[0.3138888888888889],[1],[0],[0],[1.2869565000291914],['target'],01,001,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494047587652,
