trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
0,0,0,0,5,31.6908537,31.6908537,0.030754,[-0.23148148148148148],[-0.32407407407407407],[1],[0],[0],[2.1110139000229537],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
1,0,1,0,5,33.8267375,33.8267375,0.0263843,[0.1398148148148148],[0.32685185185185184],[1],[0],[0],[2.5403424999676645],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
2,0,2,0,10,36.4279809,36.4279809,0.0481148,[0.4444444444444444],[0.3175925925925926],[1],[0],[0],[2.305614900076762],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
3,0,3,0,10,38.7765084,38.7765084,0.0380037,[0.45555555555555555],[-0.44722222222222224],[1],[0],[0],[3.5449228999204934],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
4,0,4,0,5,42.3338432,42.3338432,0.013337,[-0.3398148148148148],[0.24074074074074073],[1],[0],[0],[1.7947323999833316],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
5,0,5,0,10,44.184105,44.184105,0.0424875,[0.0824074074074074],[-0.33796296296296297],[1],[0],[0],[3.5413802000693977],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
6,0,6,0,10,47.7662358,47.7662358,0.0338699,[-0.13240740740740742],[-0.4842592592592593],[1],[0],[0],[3.283127900213003],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
7,0,7,0,10,51.0981179,51.0981179,0.0441684,[-0.12037037037037036],[0.41574074074074074],[1],[0],[0],[1.8111743000335991],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
8,0,8,0,10,52.9491164,52.9491164,0.0321567,[0.27870370370370373],[-0.16574074074074074],[1],[0],[0],[2.7037722000386566],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
9,0,9,0,5,55.6753001,55.6753001,0.021925,[-0.14444444444444443],[-0.13055555555555556],[1],[0],[0],[1.2346306000836194],['target'],1,1,2022-09-29_17h00.18.301,Tutorial_3,2022.2.4,60.31494048
