study_word,test,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,slider.started,slider.response,slider.rt,text_2.started,textbox.started,text_3.started,mouse.started,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
vase,,0,0,0,0,,,,,52.5777348,52.5777348,1,3.2654222,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
piano,,0,1,1,4,,,,,55.8550724,55.8550724,2.955555556,1.5123305,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
learn,,0,2,2,14,,,,,57.3898855,57.3898855,3.992592593,1.7381506,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
star,,0,3,3,9,,,,,59.1491039,59.1491039,2.007407407,2.2902007,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
cushion,,0,4,4,3,,,,,61.4623103,61.4623103,4.948148148,1.8697383,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
gun,,0,5,5,13,,,,,63.3561088,63.3561088,1.007407407,1.8751448,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
tomato,,0,6,6,7,,,,,65.2491493,65.2491493,3.011111111,2.2079717,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
guitar,,0,7,7,5,,,,,67.4780505,67.4780505,4.025925926,2.4049544,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
sun,,0,8,8,11,,,,,69.9043314,69.9043314,5,1.8233452,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
burn,,0,9,9,12,,,,,71.7517632,71.7517632,1.959259259,1.592055,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
flower,,0,10,10,10,,,,,73.3695118,73.3695118,1.018518519,1.4526815,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
tiger,,0,11,11,1,,,,,74.840178,74.840178,2.985185185,1.9239325,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
book,,0,12,12,2,,,,,76.7845759,76.7845759,4.014814815,1.3083457,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
plane,,0,13,13,6,,,,,78.1142435,78.1142435,4.996296296,1.1595955,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
fire,,0,14,14,8,,,,,79.296824,79.296824,4.011111111,1.7070454,,,,,,,,,,,,,502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,_a_e,,,,,0,0,0,0,,,,,81.0433468,81.0433468,81.0433468,0.0182906,vase,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[3.719591400003992],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,t_g_r,,,,,0,1,1,1,,,,,84.7651506,84.7651506,84.7651506,0.0049829,tiger,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[3.4326518999878317],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,p_a_e,,,,,0,2,2,11,,,,,88.2057544,88.2057544,88.2057544,0.0045022,plane,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[3.2838846999802627],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,c_s_h_o_n,,,,,0,3,3,3,,,,,91.4973162,91.4973162,91.4973162,0.0049852,cushion,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[5.328145500039682],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,_p_a_d_,,,,,0,4,4,7,,,,,96.8358133,96.8358133,96.8358133,0.0090822,,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[1.8842862999881618],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,c_m_r,,,,,0,5,5,6,,,,,98.7263175,98.7263175,98.7263175,0.0055684,camera,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[7.804189599992242],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
,_oo_,,,,,0,6,6,2,,,,,106.5389698,106.5389698,106.5389698,0.0047404,book,[-0.025925925925925925],[-0.2935185185185185],[1],[0],[0],[3.965677300002426],['text_3'],502,1,2022-10-20_20h56.05.176,tutorial_5,2022.2.4,60.06240484
