trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,key_resp.corr,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,1,0,start,0.01,db,0.05,0,0.2610438000410795,12.68389689992182,12.68389689992182,12.983137900009751,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,2,1,down,0.01,db,0.04994246849682526,1,0.015744900098070502,15.160818299977109,15.160818299977109,15.45989380008541,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,3,2,up,0.01,db,0.05,0,0.01512969983741641,17.571279200026765,17.571279200026765,17.886464799987152,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,4,3,up,0.01,db,0.05,1,0.015446899924427271,19.964521300047636,19.964521300047636,20.26352300005965,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,5,4,up,0.01,db,0.05005759777690845,0,0.015766399912536144,22.39098299993202,22.39098299993202,22.690087399911135,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,6,5,up,0.01,db,0.05005759777690845,1,0.014612399972975254,24.71822419995442,24.71822419995442,25.0170630000066,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,7,6,up,0.01,db,0.05005759777690845,1,0.015717400005087256,27.128335900139064,27.128335900139064,27.443886500084773,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,8,7,down,0.005,db,0.050028790599468055,1,0.01514899986796081,29.55496839992702,29.55496839992702,29.854080999968573,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,9,8,down,0.005,db,0.050028790599468055,1,0.015584999928250909,32.2146350000985,32.2146350000985,32.51344470004551,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,10,9,up,0.005,db,0.05005759777690845,0,0.015860200161114335,34.641649700002745,34.641649700002745,34.95704360003583,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,11,10,up,0.005,db,0.050086421541866995,0,0.015455800108611584,37.084363100118935,37.084363100118935,37.38353789993562,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,12,11,up,0.005,db,0.05011526190389498,0,0.01602640002965927,39.47813930013217,39.47813930013217,39.77707320009358,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,13,12,up,0.005,db,0.0501441188725492,0,0.015113099943846464,41.83852540003136,41.83852540003136,42.153910299995914,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,14,13,up,0.005,db,0.05017299245739195,0,0.015732900006696582,44.23132749996148,44.23132749996148,44.53092580009252,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,15,14,up,0.005,db,0.05017299245739195,1,0.015335200121626258,46.62513830000535,46.62513830000535,46.94041980011389,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,16,15,up,0.005,db,0.05020188266799103,0,0.01570889982394874,49.01910179993138,49.01910179993138,49.31794110010378,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,17,16,up,0.005,db,0.05020188266799103,1,0.015237600076943636,51.428666699910536,51.428666699910536,51.728059800108895,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,18,17,up,0.005,db,0.050230789513919745,0,0.014482500031590462,53.90528289997019,53.90528289997019,54.20445750001818,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,19,18,up,0.005,db,0.05025971300475692,0,0.01560000004246831,56.38200380001217,56.38200380001217,56.68117090011947,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,20,19,up,0.005,db,0.05025971300475692,1,0.01539059984497726,58.941875899909064,58.941875899909064,59.240581900114194,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,21,20,up,0.005,db,0.05025971300475692,1,0.015270299976691604,61.601499600103125,61.601499600103125,61.9167075001169,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,22,21,up,0.005,db,0.0502886531500869,0,0.015086699975654483,64.0110929000657,64.0110929000657,64.31028620013967,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,23,22,up,0.005,db,0.05031760995949953,0,0.014764799969270825,66.45495010004379,66.45495010004379,66.76999330008402,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,24,23,up,0.005,db,0.050346583442590194,0,0.01485470007173717,68.86473169992678,68.86473169992678,69.16415060008876,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,25,24,up,0.005,db,0.05037557360895979,0,0.015389000065624714,71.34172739996575,71.34172739996575,71.6570218000561,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,26,25,up,0.005,db,0.05037557360895979,1,0.014945999952033162,73.81812170008197,73.81812170008197,74.13324009999633,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,27,26,up,0.005,db,0.05040458046821476,0,0.015348599990829825,76.27802349999547,76.27802349999547,76.57696809992194,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,28,27,up,0.005,db,0.050433604029967063,0,0.015399999916553497,78.85422919993289,78.85422919993289,79.15337680000812,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,29,28,up,0.005,db,0.050462644303834195,0,0.015680300071835518,81.23098310013302,81.23098310013302,81.53046380006708,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,30,29,up,0.005,db,0.050462644303834195,1,0.014837099937722087,83.741001999937,83.741001999937,84.04026059992611,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,31,30,up,0.005,db,0.050462644303834195,1,0.0146441999822855,86.16763849998824,86.16763849998824,86.46681919996627,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,32,31,up,0.005,db,0.050491701299439196,0,0.015286599984392524,88.99369190004654,88.99369190004654,89.30909100011922,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,33,32,up,0.005,db,0.05052077502641064,0,0.015572099946439266,91.56994610000402,91.56994610000402,91.88547420012765,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,34,33,up,0.005,db,0.05054986549438265,0,0.015675100032240152,94.03003049991094,94.03003049991094,94.32851330004632,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,35,34,up,0.005,db,0.05054986549438265,1,0.015255399979650974,96.38992869993672,96.38992869993672,96.6892001000233,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,36,35,up,0.005,db,0.0505789727129949,0,0.015222199959680438,98.84995850012638,98.84995850012638,99.1653166001197,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,37,36,up,0.005,db,0.0505789727129949,1,0.01562359998933971,101.20963170006871,101.20963170006871,101.50900080008432,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,38,37,up,0.005,db,0.0506080966918926,0,0.01520569995045662,103.70358039997518,103.70358039997518,104.0023922000546,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,39,38,up,0.005,db,0.0506080966918926,1,0.015724199824035168,106.14708640007302,106.14708640007302,106.46243970002979,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,40,39,up,0.005,db,0.0506080966918926,1,0.015142199816182256,108.65688330004923,108.65688330004923,108.97258140007034,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,41,40,down,0.005,db,0.0505789727129949,1,0.015293899923563004,111.0336637001019,111.0336637001019,111.33248080010526,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,42,41,down,0.005,db,0.0505789727129949,1,0.015298699960112572,113.4603621000424,113.4603621000424,113.75920800003223,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,43,42,up,0.005,db,0.0506080966918926,0,0.015060700010508299,116.18604810000397,116.18604810000397,116.48507070005871,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,44,43,up,0.005,db,0.0506080966918926,1,0.015242299996316433,118.51349189993925,118.51349189993925,118.82868209993467,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,45,44,up,0.005,db,0.05063723744072652,0,0.015230600023642182,120.95666699996218,120.95666699996218,121.272144400049,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,46,45,up,0.005,db,0.050666394969153004,0,0.01540730008855462,123.36654640012421,123.36654640012421,123.66561440005898,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,47,46,up,0.005,db,0.050695569286833934,0,0.015059700002893806,125.82670560013503,125.82670560013503,126.14247069996782,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,48,47,up,0.005,db,0.050724760403436764,0,0.015500699868425727,128.26984030008316,128.26984030008316,128.5687732999213,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,49,48,up,0.005,db,0.050724760403436764,1,0.015610199887305498,130.73002859996632,130.73002859996632,131.02878740010783,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,50,49,up,0.005,db,0.05075396832863452,0,0.014551700092852116,133.22269650013186,133.22269650013186,133.52229070011526,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,51,50,up,0.005,db,0.05075396832863452,1,0.02090250002220273,135.6328767000232,135.6328767000232,135.93183970008977,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,52,51,up,0.005,db,0.05075396832863452,1,0.015701200114563107,138.19265380012803,138.19265380012803,138.49161150003783,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,53,52,up,0.005,db,0.05078319307210579,0,0.015438799979165196,140.553192100022,140.553192100022,140.85222340002656,1,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,54,53,up,0.005,db,0.05078319307210579,1,0.016132700024172664,143.2453727000393,143.2453727000393,143.54482770012692,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,55,54,up,0.005,db,0.050812434643534736,0,0.01459110016003251,145.6730756999459,145.6730756999459,145.97157980012707,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1,0,0,56,55,up,0.005,db,0.050841693052611096,0,0.0149747000541538,148.1328080999665,148.1328080999665,148.4320388000924,0,193986,001,2022-09-07_22h53.35.693,Tanishqua_1,2022.2.4,60.33575638893375,
